Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
DJ43VE,16/02/2024 11:11,Empreendedor,Swift; C++; Ruby; TypeScript; SQL,Tutoriais YouTube; Hackathons,Remoto; Empresa grande; Startup; Clima flexível; Times pequenos,GitLab; GitHub,Uso para revisar código,Ensinar; Carreira; Aprender; Comunidade; Impacto,Infraestrutura; Documentação; Débito técnico,Cloud Azure; Kotlin,Crescimento pessoal; Paixão; Empreender; Reconhecimento
XT49IE,21/02/2024 05:16,Pesquisador,Go; Dart; C#; Kotlin; JavaScript,Cursos presenciais; Trabalho/Prática; Livros; Graduação; Documentação oficial,Multinacional; Híbrido; Times grandes; Clima flexível,GitHub; Docker; AWS; GCP,Uso para gerar código,Pesquisa; Estabilidade; Inovação,Ferramentas novas; Gerenciar tempo,Rust; Flutter; React; Kotlin,Paixão; Flexibilidade
KN95RY,01/03/2024 08:20,Desenvolvedor Pleno,Python; TypeScript; JavaScript; Java; Ruby,Mentoria; Trabalho/Prática; Livros; Cursos online,Open source; Freelancer; Multinacional,Docker; Jupyter; IntelliJ; AWS,Uso semanalmente,Comunidade; Estabilidade; Impacto; Carreira,Deploy; Bugs difíceis; Ferramentas novas,Blockchain; Go; Flutter,Crescimento pessoal; Empreender
SF78HX,13/02/2024 04:18,QA/Testes,JavaScript; TypeScript; SQL,Graduação; Tutoriais YouTube; Projetos pessoais; Cursos presenciais; Blogs/Artigos,Open source; Multinacional; Laboratório; Híbrido,Vim/Neovim; GitHub; PyCharm; GCP,Crio prompts avançados,Impacto social; Criatividade; Desafio,Escalabilidade; Débito técnico,Data Science; Cloud AWS; Blockchain,Reconhecimento; Desafios
JU70DW,27/02/2024 09:04,Desenvolvedor Júnior,Rust; Swift; R; C++,Hackathons; Trabalho/Prática; Livros; Cursos presenciais; Graduação,Open source; Híbrido; Freelancer; Times pequenos,PyCharm; Figma; Jupyter; Kubernetes,Uso com copilotos,Carreira; Reconhecimento; Criatividade,Gerenciar tempo; Deploy,React; IA/ML; Cloud Azure,Propósito; Ensinar; Mercado aquecido; Reconhecimento
XV32FY,24/02/2024 22:46,Analista de Dados,Ruby; Kotlin; PHP,Documentação oficial; Blogs/Artigos,Academia; Clima flexível; Presencial,Azure; AWS; GCP,Outro,Resolver problemas; Dinheiro; Pesquisa; Aprender,Bugs difíceis; Comunicação,Kotlin; Data Science; Cloud AWS; Rust,Comunidade; Flexibilidade; Curiosidade; Impacto social; Trabalho remoto
HY61GU,26/02/2024 03:54,DevOps/Infra,C++; JavaScript; Swift; Python,Projetos pessoais; Trabalho/Prática; Outros,Startup; Multinacional; Academia; Presencial; Times grandes,GCP; Figma; GitLab; Bitbucket,Uso semanalmente,Desafio; Estabilidade; Ensinar; Inovação,Infraestrutura; Falta de requisitos,IA/ML; DevOps; Kubernetes,Remuneração; Trabalho remoto; Comunidade; Propósito
ZX41YS,12/02/2024 15:10,Desenvolvedor Sênior,C++; C#; SQL,Outros; Bootcamp; Projetos pessoais; Cursos online; Cursos presenciais,Governo; Freelancer; Startup; Times pequenos; Academia,VS Code; Vim/Neovim; GitHub; Docker,Uso para ideias,Propósito; Criatividade; Aprender; Resolver problemas; Reconhecimento,Teste/QA; Infraestrutura; Ferramentas novas,Cloud AWS; Flutter; Node.js; Kubernetes,Curiosidade; Comunidade; Desafios; Mercado aquecido; Reconhecimento
HK57TH,26/02/2024 12:16,UX/UI,TypeScript; JavaScript,Mentoria; Hackathons; Outros; Documentação oficial; Comunidades/Fóruns,Startup; Academia; Governo,Kubernetes; VS Code; Figma; Jupyter; PyCharm,Crio prompts avançados,Ensinar; Criatividade; Inovação; Autonomia,Documentação; Complexidade do código; Teste/QA,Flutter; Rust; Swift,Comunidade; Reconhecimento; Desafios; Empreender
MO60VJ,25/02/2024 13:27,Professor,Rust; PHP,Hackathons; Tutoriais YouTube; Comunidades/Fóruns; Blogs/Artigos,Academia; Freelancer,Azure; Jupyter; Figma; AWS,Uso para ideias,Resolver problemas; Propósito; Inovação,Mudanças constantes; Comunicação; Ferramentas novas,IA/ML; Cloud Azure; Kotlin; Data Science; Kubernetes,Mercado aquecido; Curiosidade
ID88FN,21/02/2024 09:43,UX/UI,R; SQL; Swift; Dart; Python,Documentação oficial; Pós-graduação; Outros,Open source; Freelancer; Governo; Consultoria,PyCharm; Docker; Kubernetes; GitLab,Uso para revisar código,Criatividade; Propósito; Inovação; Desafio,Infraestrutura; Mudanças constantes; Teste/QA,React; Cloud AWS; Cloud GCP,Ensinar; Propósito; Impacto social
MO92HD,15/02/2024 18:17,Professor,SQL; Rust; Go; TypeScript; Kotlin,Bootcamp; Tutoriais YouTube,Multinacional; Freelancer,GCP; Docker; Eclipse; Jupyter,Uso para testes,Criatividade; Autonomia; Resolver problemas; Propósito,Escalabilidade; Bugs difíceis; Comunicação,Kotlin; Data Science; Kubernetes,Remuneração; Reconhecimento
CU00ZZ,22/02/2024 19:59,Desenvolvedor Pleno,Ruby; C++; R; SQL; Java,Mentoria; Bootcamp; Blogs/Artigos; Cursos online,Open source; Academia,Kubernetes; GCP; Figma,Uso para testes,Estabilidade; Reconhecimento,Teste/QA; Bugs difíceis; Dados ruins,IA/ML; Swift; React; Kubernetes; Cloud Azure,Comunidade; Propósito; Paixão; Reconhecimento
LQ67MY,14/02/2024 06:49,Outro,Kotlin; Java; Dart; JavaScript; Go,Tutoriais YouTube; Projetos pessoais; Blogs/Artigos,Laboratório; Presencial; Remoto; Clima flexível,Jupyter; GitHub; AWS; Azure,Treino modelos,Estabilidade; Propósito; Dinheiro,Gerenciar tempo; Dados ruins; Mudanças constantes; Documentação; Deploy,Kotlin; DevOps; IA/ML; Cloud AWS; Blockchain,Propósito; Mercado aquecido; Curiosidade; Crescimento pessoal
GT42HS,18/02/2024 18:57,Estagiário,Ruby; Go; Swift; Java,Blogs/Artigos; Cursos presenciais,Empresa grande; Presencial; Consultoria; Open source; Governo,GCP; IntelliJ; Azure; GitHub,Uso para depurar,Inovação; Autonomia; Ensinar,Falta de requisitos; Ferramentas novas; Complexidade do código,Flutter; Swift; Go; Blockchain,Empreender; Mercado aquecido; Flexibilidade
WC57NJ,28/02/2024 10:47,UX/UI,Python; R,Livros; Documentação oficial; Graduação,Multinacional; Times grandes; Governo,IntelliJ; Azure; Eclipse; GCP; AWS,Uso para documentação,Pesquisa; Comunidade,Falta de requisitos; Segurança,Blockchain; Rust; Kubernetes; Go; Cloud GCP,Ensinar; Curiosidade; Remuneração; Crescimento pessoal
TP05LS,01/02/2024 11:17,Produto/PO,SQL; JavaScript,Cursos online; Bootcamp; Trabalho/Prática; Graduação; Tutoriais YouTube,Multinacional; Consultoria; Freelancer; Times grandes; Laboratório,Azure; Vim/Neovim,Uso para testes,Impacto social; Resolver problemas; Autonomia,Mudanças constantes; Segurança; Ferramentas novas; Escalabilidade; Bugs difíceis,React; Blockchain,Desafios; Remuneração; Mercado aquecido; Empreender; Impacto social
EE92TA,17/02/2024 02:05,Professor,PHP; Dart; Python; Java; Swift,Cursos presenciais; Livros,Freelancer; Academia,Eclipse; GCP,Nunca uso,Pesquisa; Desafio; Criatividade; Ensinar; Aprender,Mudanças constantes; Infraestrutura; Escalabilidade,Rust; Cloud GCP; Cloud AWS; Kotlin,Mercado aquecido; Crescimento pessoal; Boas oportunidades; Flexibilidade
FH07OP,25/02/2024 01:20,Pesquisador,Ruby; SQL; Rust,Cursos online; Mentoria; Blogs/Artigos; Hackathons; Trabalho/Prática,Laboratório; Consultoria; Times grandes; Presencial,Bitbucket; PyCharm; Jupyter; Kubernetes,Uso para documentação,Inovação; Carreira; Dinheiro,Débito técnico; Falta de requisitos; Bugs difíceis,Flutter; Go; Cloud Azure; IA/ML; Cloud GCP,Crescimento pessoal; Mercado aquecido; Reconhecimento
CL47CS,01/03/2024 18:22,Desenvolvedor Sênior,Kotlin; Rust,Comunidades/Fóruns; Cursos presenciais,Times pequenos; Clima flexível; Academia,Docker; Eclipse; GitLab,Uso em produção,Reconhecimento; Pesquisa,Ferramentas novas; Deploy; Teste/QA,Cloud GCP; Data Science; Swift; Rust; Cloud Azure,Propósito; Mercado aquecido; Desafios; Reconhecimento; Crescimento pessoal
MQ39GN,18/02/2024 15:47,QA/Testes,JavaScript; Dart; Swift; C++; Go,Mentoria; Outros; Trabalho/Prática,Academia; Times grandes,GCP; PyCharm; VS Code,Uso em produção,Propósito; Autonomia; Desafio; Estabilidade; Dinheiro,Complexidade do código; Gerenciar tempo; Escalabilidade; Falta de requisitos; Mudanças constantes,React; Cloud AWS; Blockchain; Swift,Impacto social; Boas oportunidades; Ensinar; Reconhecimento; Trabalho remoto
SM69ZY,07/02/2024 16:52,Produto/PO,R; SQL,Comunidades/Fóruns; Blogs/Artigos,Times pequenos; Remoto,PyCharm; Figma; Azure; Eclipse; IntelliJ,Crio prompts avançados,Aprender; Desafio; Criatividade,Documentação; Bugs difíceis; Complexidade do código; Comunicação; Ferramentas novas,Kotlin; Blockchain; Kubernetes; Cloud AWS; Go,Curiosidade; Propósito; Desafios; Ensinar; Crescimento pessoal
ZA89RU,25/02/2024 17:10,Desenvolvedor Pleno,SQL; JavaScript,Pós-graduação; Outros; Livros,Times grandes; Multinacional; Empresa grande; Consultoria,GitLab; Bitbucket,Uso para documentação,Inovação; Carreira; Impacto,Comunicação; Gerenciar tempo,DevOps; Flutter,Remuneração; Desafios; Impacto social; Curiosidade; Flexibilidade
SC55QI,01/02/2024 18:19,Outro,SQL; C#,Pós-graduação; Outros,Empresa grande; Remoto; Híbrido; Open source; Clima flexível,PyCharm; Figma,Uso para depurar,Reconhecimento; Propósito,Débito técnico; Gerenciar tempo; Ferramentas novas,Cloud GCP; DevOps; React; IA/ML; Rust,Comunidade; Trabalho remoto; Remuneração
IT17UR,25/02/2024 22:26,Desenvolvedor Júnior,Python; JavaScript; Rust; Java,Mentoria; Livros,Times pequenos; Multinacional; Remoto; Open source; Empresa grande,Docker; Eclipse; GitLab; Kubernetes; Bitbucket,Uso para gerar código,Comunidade; Resolver problemas; Ensinar,Débito técnico; Escalabilidade; Ferramentas novas; Deploy,React; IA/ML,Ensinar; Empreender; Flexibilidade; Boas oportunidades; Remuneração
JC39LT,15/02/2024 17:53,Desenvolvedor Júnior,JavaScript; TypeScript; Rust,Documentação oficial; Outros; Comunidades/Fóruns; Trabalho/Prática; Cursos presenciais,Híbrido; Multinacional,AWS; Vim/Neovim,Treino modelos,Comunidade; Aprender; Carreira; Reconhecimento,Débito técnico; Deploy; Ferramentas novas; Mudanças constantes; Escalabilidade,Kotlin; Flutter; IA/ML,Crescimento pessoal; Propósito; Trabalho remoto
DE35KM,23/02/2024 18:37,Desenvolvedor Júnior,Kotlin; Java; Swift; Ruby,Livros; Outros; Pós-graduação; Projetos pessoais; Cursos presenciais,Empresa grande; Remoto; Consultoria,Figma; AWS; Bitbucket; GitLab,Uso para documentação,Dinheiro; Ensinar; Pesquisa; Impacto,Infraestrutura; Documentação; Complexidade do código,Blockchain; Node.js; IA/ML,Reconhecimento; Crescimento pessoal; Ensinar; Empreender; Flexibilidade
ZU41JV,23/02/2024 16:18,DevOps/Infra,JavaScript; PHP; Java; R,Blogs/Artigos; Hackathons; Documentação oficial,Laboratório; Freelancer,Docker; Jupyter; GitHub,Uso para testes,Dinheiro; Impacto,Segurança; Comunicação; Infraestrutura; Escalabilidade; Débito técnico,Swift; Flutter; Cloud AWS,Paixão; Impacto social; Comunidade; Trabalho remoto; Empreender
NY88KA,19/02/2024 13:47,Cientista de Dados,JavaScript; Dart,Blogs/Artigos; Outros; Mentoria,Open source; Academia; Remoto,Jupyter; GitLab; Vim/Neovim; Bitbucket; IntelliJ,Nunca uso,Criatividade; Desafio,Falta de requisitos; Documentação; Dados ruins,Cloud AWS; Kotlin; Rust; Swift; Go,Reconhecimento; Curiosidade; Impacto social
HX10DY,06/02/2024 02:11,Desenvolvedor Pleno,Kotlin; Go; C++; Java,Mentoria; Projetos pessoais; Cursos presenciais; Comunidades/Fóruns; Tutoriais YouTube,Híbrido; Empresa grande; Remoto; Laboratório,VS Code; Figma,Uso para depurar,Estabilidade; Pesquisa,Mudanças constantes; Segurança; Teste/QA,Node.js; Go; Flutter,Mercado aquecido; Empreender; Remuneração; Flexibilidade; Boas oportunidades
QL03TW,09/02/2024 19:35,QA/Testes,Rust; Python; Swift; Java; Dart,Hackathons; Tutoriais YouTube; Outros; Cursos presenciais,Times pequenos; Times grandes,GitLab; Vim/Neovim; Eclipse,Uso para documentação,Criatividade; Impacto,Mudanças constantes; Comunicação; Documentação; Complexidade do código; Dados ruins,Rust; DevOps; Node.js; Cloud AWS; Blockchain,Trabalho remoto; Flexibilidade; Ensinar
XP86DD,14/02/2024 20:53,Analista de Dados,TypeScript; Go,Documentação oficial; Trabalho/Prática; Comunidades/Fóruns,Academia; Consultoria; Times grandes,Docker; Azure; Kubernetes,Crio prompts avançados,Estabilidade; Inovação; Carreira,Segurança; Documentação; Falta de requisitos,Cloud Azure; Node.js,Impacto social; Boas oportunidades
VZ64QK,10/02/2024 05:07,QA/Testes,Swift; R; C++; Dart; TypeScript,Livros; Cursos online,Empresa grande; Remoto; Clima flexível,Kubernetes; GitHub; PyCharm,Treino modelos,Ensinar; Criatividade; Pesquisa; Resolver problemas; Propósito,Infraestrutura; Débito técnico,Go; Cloud Azure; Cloud AWS; Kubernetes,Desafios; Mercado aquecido; Remuneração; Paixão; Flexibilidade
HZ57GW,12/02/2024 14:22,Desenvolvedor Júnior,R; JavaScript; Dart; Java; Swift,Comunidades/Fóruns; Tutoriais YouTube; Livros; Blogs/Artigos,Presencial; Academia; Clima flexível; Startup; Laboratório,AWS; GitLab,Uso para revisar código,Estabilidade; Ensinar; Impacto social; Carreira,Complexidade do código; Infraestrutura; Mudanças constantes; Comunicação,IA/ML; Cloud AWS,Propósito; Curiosidade; Crescimento pessoal; Flexibilidade; Boas oportunidades
GS31TR,07/02/2024 08:56,QA/Testes,PHP; Ruby; Kotlin,Trabalho/Prática; Projetos pessoais; Cursos presenciais; Blogs/Artigos; Hackathons,Governo; Laboratório; Empresa grande; Times grandes; Multinacional,Docker; GitLab; AWS; VS Code; IntelliJ,Crio prompts avançados,Impacto social; Dinheiro; Resolver problemas; Comunidade; Criatividade,Escalabilidade; Dados ruins; Teste/QA; Falta de requisitos; Infraestrutura,Cloud Azure; React; Node.js; Go,Comunidade; Trabalho remoto; Impacto social
XT05CU,16/02/2024 23:27,QA/Testes,JavaScript; R,Projetos pessoais; Outros; Cursos online,Startup; Laboratório; Presencial; Open source; Empresa grande,Figma; GitHub; IntelliJ,Uso com copilotos,Criatividade; Resolver problemas; Estabilidade; Impacto,Bugs difíceis; Dados ruins; Comunicação,Swift; Cloud GCP; Cloud AWS; Data Science,Flexibilidade; Paixão; Ensinar; Trabalho remoto; Curiosidade
MD28NL,11/02/2024 01:06,Estagiário,R; JavaScript; Rust; Swift,Projetos pessoais; Cursos presenciais; Pós-graduação,Híbrido; Laboratório; Times pequenos; Clima flexível; Times grandes,GitLab; GitHub; PyCharm; Bitbucket,Treino modelos,Carreira; Resolver problemas; Criatividade,Complexidade do código; Comunicação,Blockchain; Node.js; Swift,Flexibilidade; Ensinar; Boas oportunidades
QL27CC,20/02/2024 01:41,Empreendedor,PHP; Swift,Mentoria; Trabalho/Prática; Outros; Graduação; Pós-graduação,Open source; Híbrido; Startup; Governo,Jupyter; GCP; VS Code; Azure,Outro,Reconhecimento; Criatividade; Propósito; Pesquisa,Ferramentas novas; Dados ruins; Infraestrutura,Cloud AWS; Cloud GCP,Impacto social; Remuneração; Paixão
MP67XA,12/02/2024 07:19,Cientista de Dados,TypeScript; Rust; PHP; R,Documentação oficial; Blogs/Artigos; Graduação; Projetos pessoais,Remoto; Academia,VS Code; GitHub,Uso diariamente,Resolver problemas; Comunidade,Mudanças constantes; Infraestrutura; Comunicação; Ferramentas novas; Teste/QA,Flutter; Swift; Cloud GCP; DevOps; Kotlin,Crescimento pessoal; Paixão; Propósito
NF19NK,04/02/2024 22:18,Professor,Kotlin; Swift,Tutoriais YouTube; Comunidades/Fóruns; Pós-graduação; Cursos online; Hackathons,Clima flexível; Consultoria,Docker; AWS,Uso para ideias,Propósito; Impacto,Deploy; Bugs difíceis; Ferramentas novas,Swift; Kubernetes; IA/ML,Reconhecimento; Desafios; Trabalho remoto; Ensinar; Crescimento pessoal
JT34TD,08/02/2024 22:22,Estagiário,Dart; Rust; Kotlin; C#,Bootcamp; Tutoriais YouTube,Freelancer; Clima flexível,VS Code; Docker; AWS; PyCharm,Uso para depurar,Criatividade; Comunidade; Resolver problemas,Escalabilidade; Ferramentas novas,Kubernetes; Cloud Azure,Mercado aquecido; Curiosidade
JX22YW,22/02/2024 19:17,Produto/PO,Java; Go; SQL; Rust; R,Comunidades/Fóruns; Cursos presenciais; Livros; Mentoria,Governo; Open source,PyCharm; Eclipse,Treino modelos,Comunidade; Resolver problemas,Gerenciar tempo; Infraestrutura; Débito técnico; Teste/QA; Documentação,Go; Blockchain,Reconhecimento; Mercado aquecido
OH79GJ,14/02/2024 14:29,QA/Testes,Swift; C#; Dart,Graduação; Cursos online; Trabalho/Prática,Startup; Governo,Azure; Figma; GCP; VS Code,Uso para depurar,Comunidade; Dinheiro,Deploy; Escalabilidade; Mudanças constantes; Gerenciar tempo,Blockchain; Kubernetes; IA/ML; Swift; React,Curiosidade; Mercado aquecido
KX58ZC,24/02/2024 23:42,Desenvolvedor Júnior,Ruby; R; Rust,Livros; Outros,Consultoria; Open source,Eclipse; GitHub; Figma,Uso para testes,Comunidade; Impacto social; Dinheiro; Pesquisa,Documentação; Falta de requisitos; Infraestrutura; Escalabilidade,Data Science; IA/ML,Boas oportunidades; Paixão
LI15NZ,08/02/2024 19:32,Desenvolvedor Sênior,Kotlin; C++; SQL; JavaScript; Swift,Hackathons; Blogs/Artigos; Bootcamp,Startup; Times grandes,PyCharm; IntelliJ; GCP; Eclipse,Uso para depurar,Resolver problemas; Impacto; Carreira; Dinheiro; Autonomia,Dados ruins; Gerenciar tempo,Go; Swift; Cloud GCP; Data Science; DevOps,Paixão; Empreender; Trabalho remoto; Boas oportunidades; Propósito
BU28DV,01/02/2024 21:03,Cientista de Dados,PHP; SQL,Outros; Comunidades/Fóruns; Cursos presenciais; Cursos online,Startup; Open source,Jupyter; PyCharm; IntelliJ; GitLab; Vim/Neovim,Nunca uso,Resolver problemas; Autonomia; Propósito; Reconhecimento; Impacto social,Falta de requisitos; Bugs difíceis; Dados ruins; Comunicação; Débito técnico,Node.js; Data Science; IA/ML,Crescimento pessoal; Impacto social; Boas oportunidades; Curiosidade
QG37MW,29/02/2024 06:46,QA/Testes,JavaScript; Kotlin,Graduação; Trabalho/Prática; Pós-graduação; Blogs/Artigos; Documentação oficial,Open source; Times pequenos; Governo,Bitbucket; Jupyter,Crio prompts avançados,Ensinar; Criatividade; Comunidade; Inovação,Teste/QA; Complexidade do código; Mudanças constantes; Documentação,React; IA/ML; Kubernetes; Node.js; Rust,Curiosidade; Empreender; Trabalho remoto
BZ67JP,14/02/2024 02:51,Desenvolvedor Sênior,JavaScript; Java; Ruby,Bootcamp; Documentação oficial; Hackathons,Times pequenos; Startup,GitLab; Figma; PyCharm; Jupyter; Eclipse,Uso para ideias,Impacto social; Pesquisa; Propósito; Aprender,Complexidade do código; Teste/QA; Segurança; Gerenciar tempo,Cloud Azure; Cloud AWS; Blockchain,Boas oportunidades; Impacto social; Curiosidade; Paixão
GF67MI,03/02/2024 21:21,UX/UI,Dart; TypeScript; Go,Outros; Hackathons; Mentoria,Remoto; Presencial,Jupyter; IntelliJ; Kubernetes,Uso para testes,Autonomia; Estabilidade; Impacto social; Impacto,Complexidade do código; Deploy; Documentação; Infraestrutura; Débito técnico,IA/ML; Swift; Flutter,Flexibilidade; Reconhecimento; Boas oportunidades; Ensinar; Desafios
UF75VJ,29/02/2024 06:20,Pesquisador,TypeScript; SQL; Swift; Python,Comunidades/Fóruns; Hackathons; Livros; Cursos online; Graduação,Clima flexível; Times pequenos; Academia; Startup,Vim/Neovim; Docker,Uso semanalmente,Autonomia; Desafio; Estabilidade; Dinheiro,Comunicação; Deploy; Ferramentas novas,Blockchain; Kubernetes; React; Data Science,Ensinar; Paixão; Reconhecimento
US06KT,13/02/2024 00:20,Desenvolvedor Pleno,C++; Rust; Go; C#; R,Comunidades/Fóruns; Projetos pessoais,Presencial; Freelancer; Híbrido,GitHub; VS Code,Uso para depurar,Desafio; Resolver problemas; Estabilidade; Autonomia,Segurança; Ferramentas novas; Deploy; Mudanças constantes; Débito técnico,Rust; Cloud GCP; Blockchain; Swift,Remuneração; Flexibilidade
